weekday, day, hour, minute, second,Time ,
Monday,21,21,59,59,7.916655093, 
Monday,21,21,40,49,7.903344907,
Monday,21,21,35,0,7.899305556,
Monday,21,20,45,44,7.865092593,
Monday,21,20,43,54,7.863819444,
Monday,21,20,31,58,7.855532407,
Monday,21,20,16,9,7.844548611,
Monday,21,20,14,55,7.84369213,
Monday,21,20,12,51,7.842256944,
Monday,21,20,3,23,7.83568287,
Monday,21,19,59,40,7.833101852,
Monday,21,19,57,54,7.831875,
Monday,21,19,21,44,7.806759259,
Monday,21,19,20,2,7.805578704,
Monday,21,18,24,13,7.76681713,
Monday,21,18,18,46,7.763032407,
Monday,21,18,12,48,7.758888889,
Monday,21,17,13,33,7.717743056,
Monday,21,16,43,52,7.69712963,
Monday,21,16,41,1,7.695150463,
Monday,21,16,16,51,7.678368056,
Monday,21,15,54,59,7.66318287,
Monday,21,15,51,14,7.660578704,
Monday,21,15,35,28,7.64962963,
Monday,21,15,34,11,7.648738426,
Monday,21,15,28,35,7.644849537,
Monday,21,14,43,24,7.613472222,
Monday,21,14,37,45,7.609548611,
Monday,21,14,24,5,7.60005787,
Monday,21,14,21,19,7.598136574,
Monday,21,14,2,48,7.585277778,
Monday,21,13,37,20,7.567592593,
Monday,21,13,32,20,7.56412037,
Monday,21,12,24,27,7.516979167,
Monday,21,12,17,42,7.512291667,
Monday,21,12,9,29,7.506585648,
Monday,21,11,11,1,7.465983796,
Monday,21,11,5,18,7.462013889,
Monday,21,11,2,33,7.460104167,
Monday,21,10,54,25,7.454456019,
Monday,21,10,26,54,7.435347222,
Monday,21,10,12,25,7.425289352,
Monday,21,9,32,28,7.397546296,
Monday,21,7,44,34,7.322615741,
Monday,21,7,38,17,7.318252315,
Monday,21,7,14,34,7.301782407,
Monday,21,7,2,55,7.29369213,
Monday,21,6,49,19,7.284247685,
Monday,21,6,48,38,7.283773148,
Monday,21,6,33,49,7.273483796,
Monday,21,6,31,10,7.271643519,
Monday,21,6,23,28,7.266296296,
Monday,21,6,8,18,7.255763889,
Monday,21,6,3,1,7.252094907,
Monday,21,5,53,18,7.245347222,
Monday,21,5,49,40,7.242824074,
Monday,21,5,36,54,7.233958333,
Monday,21,5,29,53,7.229085648,
Monday,21,5,5,33,7.2121875,
Monday,21,4,39,52,7.194351852,
Monday,21,4,28,55,7.186747685,
Monday,21,4,23,13,7.182789352,
Monday,21,4,15,17,7.177280093,
Monday,21,4,0,15,7.166840278,
Monday,21,3,41,35,7.153877315,
Monday,21,3,33,20,7.148148148,
Monday,21,3,30,47,7.146377315,
Monday,21,3,25,5,7.142418981,
Monday,21,3,24,19,7.141886574,
Monday,21,3,24,13,7.14181713,
Monday,21,3,23,47,7.141516204,
Monday,21,3,22,58,7.140949074,
Monday,21,3,16,18,7.136319444,
Monday,21,3,12,22,7.133587963,
Monday,21,3,8,21,7.130798611,
Monday,21,3,7,18,7.130069444,
Monday,21,2,49,11,7.117488426,
Monday,21,1,53,14,7.078634259,
Monday,21,1,29,52,7.062407407,
Monday,21,1,24,59,7.059016204,
Monday,21,0,31,58,7.022199074,
Monday,21,0,21,28,7.014907407,
Monday,21,0,14,5,7.009780093,
Sunday,20,23,48,5,6.991724537,
Sunday,20,22,53,40,6.953935185,
Sunday,20,22,14,38,6.926828704,
Sunday,20,21,55,55,6.913831019,
Sunday,20,21,23,17,6.891168981,
Sunday,20,21,20,11,6.889016204,
Sunday,20,20,53,59,6.870821759,
Sunday,20,20,46,8,6.86537037,
Sunday,20,20,26,6,6.851458333,
Sunday,20,20,19,18,6.846736111,
Sunday,20,19,54,28,6.829490741,
Sunday,20,19,53,31,6.828831019,
Sunday,20,19,39,20,6.818981481,
Sunday,20,19,0,0,6.791666667,
Sunday,20,18,41,53,6.779085648,
Sunday,20,18,38,16,6.776574074,
Sunday,20,17,29,36,6.728888889,
Sunday,20,17,28,59,6.728460648,
Sunday,20,17,21,58,6.723587963,
Sunday,20,16,52,33,6.703159722,
